,pm2.5,datum_od,o3,pm10,co,no2
0,44.0,2023-02-23 09:00:00,2.0,57.0,0.3841990555757355,47.0
0,48.0,2023-02-23 10:00:00,2.0,65.0,0.6,49.0
0,49.0,2023-02-23 11:00:00,2.0,61.0,0.6,48.0
0,53.0,2023-02-23 12:00:00,2.0,73.0,0.6,50.0
0,54.0,2023-02-23 13:00:00,2.0,67.0,0.6,52.0
0,46.0,2023-02-23 14:00:00,4.0,67.0,0.5,50.0
0,47.0,2023-02-23 15:00:00,6.0,78.0,0.4,26.22096317280453
0,47.0,2023-02-23 16:00:00,2.0,80.0,0.5,57.0
0,52.0,2023-02-23 17:00:00,46.37114427860696,76.0,0.7,63.0
0,56.0,2023-02-23 18:00:00,46.37114427860696,65.0,0.7,58.0
0,55.0,2023-02-23 19:00:00,46.37114427860696,63.0,0.7,53.0
0,59.0,2023-02-23 20:00:00,46.37114427860696,67.0,0.9,57.0
0,64.0,2023-02-23 21:00:00,46.37114427860696,72.0,0.9,49.0
0,61.0,2023-02-23 22:00:00,46.37114427860696,67.0,0.9,42.0
0,47.0,2023-02-23 23:00:00,46.37114427860696,50.0,0.7,35.0
0,49.0,2023-02-24 00:00:00,46.37114427860696,51.0,0.9,34.0
0,58.0,2023-02-24 01:00:00,46.37114427860696,65.0,0.9,34.0
0,44.0,2023-02-24 02:00:00,46.37114427860696,46.0,0.7,31.0
0,42.0,2023-02-24 03:00:00,46.37114427860696,43.0,0.8,35.0
0,39.0,2023-02-24 04:00:00,46.37114427860696,40.0,0.7,33.0
0,33.0,2023-02-24 05:00:00,1.0,33.0,0.6,31.0
0,33.0,2023-02-24 06:00:00,46.37114427860696,34.0,0.7,30.0
0,32.0,2023-02-24 07:00:00,46.37114427860696,33.0,0.7,32.0
0,30.0,2023-02-24 08:00:00,46.37114427860696,32.0,0.7,31.0
0,31.0,2023-02-24 09:00:00,46.37114427860696,32.0,0.3841990555757355,28.0
0,31.0,2023-02-24 10:00:00,46.37114427860696,37.0,0.6,28.0
0,35.0,2023-02-24 11:00:00,46.37114427860696,46.0,0.5,33.0
0,42.0,2023-02-24 12:00:00,46.37114427860696,58.0,0.6,40.0
0,38.0,2023-02-24 13:00:00,46.37114427860696,55.0,0.3,19.0
0,36.0,2023-02-24 14:00:00,46.37114427860696,43.0,0.3,15.0
0,38.0,2023-02-24 15:00:00,46.37114427860696,44.0,0.3,26.22096317280453
0,38.0,2023-02-24 16:00:00,64.0,45.0,0.3,20.0
0,36.0,2023-02-24 17:00:00,62.0,41.0,0.3,21.0
0,34.0,2023-02-24 18:00:00,72.0,39.0,0.3,14.0
0,36.0,2023-02-24 19:00:00,77.0,41.0,0.3,12.0
0,32.0,2023-02-24 20:00:00,79.0,38.0,0.2,11.0
0,25.0,2023-02-24 21:00:00,78.0,32.0,0.2,10.0
0,24.0,2023-02-24 22:00:00,75.0,31.0,0.2,10.0
0,21.0,2023-02-24 23:00:00,73.0,27.0,0.2,11.0
0,19.0,2023-02-25 00:00:00,71.0,26.0,0.2,10.0
0,18.0,2023-02-25 01:00:00,73.0,26.0,0.2,8.0
0,16.0,2023-02-25 02:00:00,79.0,24.0,0.2,5.0
0,15.0,2023-02-25 03:00:00,78.0,25.0,0.2,4.0
0,15.0,2023-02-25 04:00:00,75.0,25.0,0.2,5.0
0,16.0,2023-02-25 05:00:00,71.0,28.0,0.2,6.0
0,16.0,2023-02-25 06:00:00,69.0,26.0,0.2,6.0
0,16.0,2023-02-25 07:00:00,68.0,25.0,0.2,7.0
0,19.0,2023-02-25 08:00:00,69.0,32.0,0.2,8.0
0,20.0,2023-02-25 09:00:00,69.0,35.0,0.2,8.0
0,20.0,2023-02-25 10:00:00,46.37114427860696,35.0,0.3841990555757355,8.0
0,20.0,2023-02-25 11:00:00,72.0,36.0,0.2,8.0
0,20.0,2023-02-25 12:00:00,73.0,36.0,0.2,9.0
0,19.0,2023-02-25 13:00:00,73.0,37.0,0.2,10.0
0,18.0,2023-02-25 14:00:00,76.0,40.0,0.2,10.0
0,20.0,2023-02-25 15:00:00,62.0,37.0,0.2,16.0
0,22.0,2023-02-25 16:00:00,49.0,40.0,0.3,26.22096317280453
0,27.0,2023-02-25 17:00:00,28.0,43.0,0.4,43.0
0,27.0,2023-02-25 18:00:00,28.0,39.0,0.3,30.0
0,14.0,2023-02-25 19:00:00,50.0,19.0,0.3,10.0
0,5.0,2023-02-25 20:00:00,59.0,7.0,0.2,11.0
0,24.457279962546817,2023-02-25 21:00:00,62.0,2.0,0.2,14.0
0,24.457279962546817,2023-02-25 22:00:00,68.0,2.0,0.2,7.0
0,24.457279962546817,2023-02-25 23:00:00,63.0,29.09364970197157,0.2,7.0
0,24.457279962546817,2023-02-26 00:00:00,61.0,29.09364970197157,0.2,7.0
0,24.457279962546817,2023-02-26 01:00:00,60.0,29.09364970197157,0.2,7.0
0,24.457279962546817,2023-02-26 02:00:00,62.0,29.09364970197157,0.2,6.0
0,24.457279962546817,2023-02-26 03:00:00,64.0,29.09364970197157,0.2,6.0
0,24.457279962546817,2023-02-26 04:00:00,69.0,29.09364970197157,0.2,4.0
0,24.457279962546817,2023-02-26 05:00:00,71.0,29.09364970197157,0.2,4.0
0,24.457279962546817,2023-02-26 06:00:00,69.0,29.09364970197157,0.2,4.0
0,24.457279962546817,2023-02-26 07:00:00,67.0,29.09364970197157,0.2,4.0
0,24.457279962546817,2023-02-26 08:00:00,66.0,29.09364970197157,0.2,5.0
0,3.0,2023-02-26 09:00:00,64.0,3.0,0.2,7.0
0,4.0,2023-02-26 10:00:00,58.0,4.0,0.3841990555757355,11.0
0,4.0,2023-02-26 11:00:00,46.37114427860696,5.0,0.2,11.0
